t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
65400,109851,103952,0.00231997,0,0.00120525,6.47715e-05,0,0,0.000932488,6.94626e-06,2.93198,0.00938374
66000,109851,103952,0.00231997,0,0.00120551,6.48328e-05,0,0,0.000930784,6.99999e-06,2.93982,0.00938373
66600,109851,103952,0.00231996,0,0.00120576,6.48949e-05,0,0,0.000929098,7.05292e-06,2.94652,0.00938372
67200,109851,103952,0.00231995,0,0.00120601,6.49578e-05,0,0,0.000927429,7.10506e-06,2.95223,0.00938372
67800,109851,103952,0.00231994,0,0.00120625,6.50215e-05,0,0,0.000925776,7.1564e-06,2.95671,0.00938371
68400,109851,103952,0.00231993,0,0.00120648,6.5086e-05,0,0,0.000924138,7.20689e-06,2.96008,0.0093837
69000,109851,103952,0.00231992,0,0.00120671,6.51513e-05,0,0,0.000922516,7.25671e-06,2.9624,0.00938369
69600,109851,103952,0.00231991,0,0.00120695,6.52174e-05,0,0,0.000920908,7.3062e-06,2.9639,0.00938368
70200,109851,103952,0.0023199,0,0.00120718,6.52843e-05,0,0,0.000919313,7.35492e-06,2.96461,0.00938368
70800,109851,103952,0.00231989,0,0.00120742,6.53521e-05,0,0,0.000917729,7.40285e-06,2.96452,0.00938367
71400,109851,103952,0.00231987,0,0.00120766,6.54205e-05,0,0,0.000916157,7.45001e-06,2.96378,0.00938366
72000,109851,103952,0.00231986,0,0.00120791,6.54899e-05,0,0,0.000914596,7.49645e-06,2.96244,0.00938365
72600,109851,103952,0.00231985,0,0.00120817,6.556e-05,0,0,0.000913044,7.5424e-06,2.96066,0.00938364
73200,109851,103952,0.00231983,0,0.00120844,6.5631e-05,0,0,0.000911501,7.5878e-06,2.95854,0.00938363
73800,109851,103952,0.00231981,0,0.00120872,6.57027e-05,0,0,0.000909965,7.63262e-06,2.95607,0.00938362
74400,109851,103952,0.0023198,0,0.001209,6.57752e-05,0,0,0.000908438,7.67698e-06,2.95336,0.00938362
75000,109851,103952,0.00231978,0,0.0012093,6.58485e-05,0,0,0.000906916,7.72064e-06,2.95025,0.00938361
75600,109851,103952,0.00231977,0,0.0012096,6.59225e-05,0,0,0.000905399,7.7636e-06,2.94681,0.0093836
76200,109851,103952,0.00231975,0,0.00120992,6.59974e-05,0,0,0.000903887,7.80587e-06,2.94307,0.00938359
76800,109851,103952,0.00231973,0,0.00121024,6.60731e-05,0,0,0.000902379,7.84745e-06,2.93901,0.00938358
77400,109851,103952,0.00231971,0,0.00121058,6.61495e-05,0,0,0.000900874,7.88834e-06,2.93466,0.00938357
78000,109851,103952,0.00231969,0,0.00121092,6.62267e-05,0,0,0.00089937,7.92856e-06,2.92998,0.00938356
78600,109851,103952,0.00231967,0,0.00121127,6.63048e-05,0,0,0.000897869,7.9681e-06,2.92488,0.00938355
79200,109851,103952,0.00231965,0,0.00121163,6.63836e-05,0,0,0.000896368,8.00695e-06,2.9193,0.00938354
79800,109851,103952,0.00231963,0,0.001212,6.64631e-05,0,0,0.000894868,8.04517e-06,2.91341,0.00938353
80400,109851,103952,0.00231961,0,0.00121238,6.65434e-05,0,0,0.000893367,8.08277e-06,2.90716,0.00938352
81000,109851,103952,0.00231959,0,0.00121277,6.66245e-05,0,0,0.000891866,8.11992e-06,2.90043,0.00938351
81600,109851,103952,0.00231957,0,0.00121316,6.67063e-05,0,0,0.000890365,8.15658e-06,2.89302,0.0093835
82200,109851,103952,0.00231955,0,0.00121356,6.67889e-05,0,0,0.000888862,8.19289e-06,2.88485,0.00938349
82800,109851,103952,0.00231952,0,0.00121397,6.68722e-05,0,0,0.000887358,8.22859e-06,2.87611,0.00938348
83400,109851,103952,0.0023195,0,0.00121438,6.69562e-05,0,0,0.000885852,8.26369e-06,2.86697,0.00938347
84000,109851,103952,0.00231948,0,0.0012148,6.7041e-05,0,0,0.000884344,8.2982e-06,2.85742,0.00938346
84600,109851,103952,0.00231946,0,0.00121522,6.71265e-05,0,0,0.000882834,8.33212e-06,2.84749,0.00938345
85200,109851,103952,0.00231943,0,0.00121565,6.72128e-05,0,0,0.000881323,8.36546e-06,2.83725,0.00938344
85800,109851,103952,0.00231941,0,0.00121609,6.72997e-05,0,0,0.000879811,8.39822e-06,2.82675,0.00938343
86400,109851,103952,0.00231939,0,0.00121653,6.73874e-05,0,0,0.000878297,8.4304e-06,2.81609,0.00938342
87000,109851,103952,0.00231936,0,0.00121698,6.74758e-05,0,0,0.000876784,8.46212e-06,2.80529,0.00938341
87600,109851,103952,0.00231934,0,0.00121743,6.75649e-05,0,0,0.00087527,8.4933e-06,2.79439,0.0093834
88200,109851,103952,0.00231931,0,0.00121788,6.76548e-05,0,0,0.000873756,8.52396e-06,2.78342,0.00938339
88800,109851,103952,0.00231928,0,0.00121834,6.77452e-05,0,0,0.000872247,8.55763e-06,2.77244,0.00938338
89400,109851,103952,0.00231925,0,0.0012188,6.78363e-05,0,0,0.000870749,8.59644e-06,2.76147,0.00938337
90000,109851,103952,0.00231923,0,0.00121926,6.79281e-05,0,0,0.000869253,8.63494e-06,2.75055,0.00938337
90600,109851,103952,0.0023192,0,0.00121972,6.80206e-05,0,0,0.00086776,8.67315e-06,2.73964,0.00938336
91200,109851,103952,0.00231917,0,0.00122018,6.81138e-05,0,0,0.000866269,8.71094e-06,2.72874,0.00938336
91800,109851,103952,0.00231915,0,0.00122065,6.82076e-05,0,0,0.000864783,8.74849e-06,2.7178,0.00938335
